	index	text	correct	hypothesis	correct.1	label1	label2	gold_label
237	317	Several cars do not line a busy city street.		the road  has  cars on it.		neutral	neutral	neutral
238	318	Several cars line a busy city street.		the road has no cars on it.		contradiction	contradiction	contradiction
239	319	Several cars do not line a busy city street.	1.0	the road has no cars on it.	1.0	neutral	entailment	neutral
240	321	A woman in shorts and knee-high socks is not walking down the sidewalk.		A man wearing a beanie  cap is walking in front of the store.		neutral	neutral	neutral
241	322	A woman in shorts and knee-high socks is walking down the sidewalk.		A man wearing a beanie  cap is not walking in front of the store.		neutral	neutral	neutral
242	323	A woman in shorts and knee-high socks is not walking down the sidewalk.	1.0	A man wearing a beanie  cap is not walking in front of the store.	1.0	neutral	neutral	neutral
243	325	A puppy dog is not playing with a tennis ball.		The dog is two months old.		neutral	neutral	neutral
244	326	A puppy dog is playing with a tennis ball.		The dog is not two months old.		neutral	neutral	neutral
245	327	A puppy dog is not playing with a tennis ball.	1.0	The dog is not two months old.	1.0	neutral	neutral	neutral
246	329	Two young children are not hopping on stones above a river.		children goes to sleep in dormitory		neutral	neutral	neutral
247	330	Two young children hopping on stones above a river.		children does not go to sleep in dormitory		entailment	entailment	entailment
248	331	Two young children are not hopping on stones above a river.	1.0	children does not go to sleep in dormitory	1.0	neutral	neutral	neutral
249	333	Two men, one carrying a white purse on his back, are not walking down a brick sidewalk.		Two men are outside.		neutral	neutral	neutral
250	334	Two men, one carrying a white purse on his back, are walking down a brick sidewalk.		Two men are not outside.		contradiction	contradiction	contradiction
251	335	Two men, one carrying a white purse on his back, are not walking down a brick sidewalk.	1.0	Two men are not outside.	1.0	neutral	neutral	neutral
252	337	A young kid is not playing the goalie in a hockey rink.		A kid blocks a shot from being made.		neutral	neutral	neutral
253	338	A young kid playing the goalie in a hockey rink.		A kid does not block a shot from being made.		neutral	neutral	neutral
254	339	A young kid is not playing the goalie in a hockey rink.	1.0	A kid does not block a shot from being made.	1.0	neutral	neutral	neutral
255	341	A woman is not playing ice hockey.		A woman just scored a goal in hockey.		contradiction	contradiction	contradiction
256	342	A woman is playing ice hockey.		A woman did not score a goal in hockey.		neutral	neutral	neutral
257	343	A woman is not playing ice hockey.	1.0	A woman did not score a goal in hockey.	1.0	entailment	entailment	entailment
258	345	Hi, Which are you not using L'Oreal nail polish on your fingers.?		L'Oreal makes nail polish.		entailment	contradiction	entailment
259	346	Hi, Which are you using L'Oreal nail polish on your fingers.?		L'Oreal does not make nail polish.		contradiction	contradiction	contradiction
260	347	Hi, Which are you not using L'Oreal nail polish on your fingers.?	1.0	L'Oreal does not make nail polish.	1.0	neutral	neutral	neutral
261	349	Four young girls in green and blue uniforms do not play soccer together.		There are girls eating outside.		neutral	neutral	neutral
262	350	Four young girls in green and blue uniforms play soccer together.		There are not girls eating outside.		entailment	neutral	entailment
263	351	Four young girls in green and blue uniforms do not play soccer together.	1.0	There are not girls eating outside.	1.0	neutral	neutral	neutral
264	353	A person not riding a rodeo bull.		A person is driving to work.		neutral	neutral	neutral
265	354	A person riding a rodeo bull.		A person is not driving to work.		entailment	neutral	entailment
266	355	A person not riding a rodeo bull.	1.0	A person is not driving to work.	1.0	neutral	neutral	neutral
267	357	The men in the Gators helmets do not have their arms wrapped around each other.		The men are wearing helmets		entailment	entailment	entailment
268	358	The men in the Gators helmets have their arms wrapped around each other.		The men aren't wearing helmets		contradiction	contradiction	contradiction
269	359	The men in the Gators helmets do not have their arms wrapped around each other.	1.0	The men aren't wearing helmets	1.0	contradiction	contradiction	contradiction
270	361	Two little guys not sitting on a brick wall, the younger one is reading something to the older one.		Two small people are on a brick wall and are interacting.		contradiction	contradiction	contradiction
271	362	Two little guys sitting on a brick wall, the younger one is reading something to the older one.		Two small people are not on a brick wall and are interacting.		contradiction	contradiction	contradiction
272	363	Two little guys not sitting on a brick wall, the younger one is reading something to the older one.	1.0	Two small people are not on a brick wall and are interacting.	1.0	entailment	entailment	entailment
273	365	A small child is not holding a basket of brightly colored Easter eggs and is picking up a pink one from the grass.		A child holds an Easter basket while participating in an Easter egg hunt.		contradiction	contradiction	contradiction
274	366	A small child is holding a basket of brightly colored Easter eggs and is picking up a pink one from the grass.		A child does not hold an Easter basket while participating in an Easter egg hunt.		contradiction	contradiction	contradiction
275	367	A small child is not holding a basket of brightly colored Easter eggs and is picking up a pink one from the grass.	1.0	A child does not hold an Easter basket while participating in an Easter egg hunt.	1.0	entailment	neutral	entailment
276	369	Forensic scientist does not look through a microscope as others look on.		A scientist is writing on the board.		neutral	neutral	neutral
277	370	Forensic scientist looks through a microscope as others look on.		A scientist is not writing on the board.		entailment	entailment	entailment
278	371	Forensic scientist does not look through a microscope as others look on.	1.0	A scientist is not writing on the board.	1.0	neutral	neutral	neutral
279	373	The white dog is not drinking mountain dew in the snow.		The homeless dog is drinking in the snow.		neutral	neutral	neutral
280	374	The white dog is drinking mountain dew in the snow.		The homeless dog is not drinking in the snow.		neutral	neutral	neutral
281	375	The white dog is not drinking mountain dew in the snow.	1.0	The homeless dog is not drinking in the snow.	1.0	neutral	neutral	neutral
282	377	Two dogs are not running toward the water.		The animals are close to water.		neutral	contradiction	neutral
283	378	Two dogs are running toward the water.		The animals are not close to water.		contradiction	contradiction	contradiction
284	379	Two dogs are not running toward the water.	1.0	The animals are not close to water.	1.0	neutral	entailment	neutral
285	381	A woman in a blue shirt is not speaking with two other women and a man, who is wearing glasses.		A woman is lecturing to three other people		neutral	neutral	neutral
286	382	A woman in a blue shirt is speaking with two other women and a man, who is wearing glasses.		A woman is not lecturing to three other people		neutral	entailment	neutral
287	383	A woman in a blue shirt is not speaking with two other women and a man, who is wearing glasses.	1.0	A woman is not lecturing to three other people	1.0	neutral	neutral	neutral
288	385	One man does not shaves while another watches.		A man is shaving.		contradiction	contradiction	contradiction
289	386	One man shaves while another watches.		A man is not shaving.		contradiction	contradiction	contradiction
290	387	One man does not shaves while another watches.	1.0	A man is not shaving.	1.0	entailment	entailment	entailment
291	389	Two scuba divers are not underwater.		people dives in the water.		contradiction	contradiction	contradiction
292	390	Two scuba divers are underwater.		people do not dive in the water.		contradiction	contradiction	contradiction
293	391	Two scuba divers are not underwater.	1.0	people do not dive in the water.	1.0	entailment	entailment	entailment
294	393	An African individual is not looking into the camera while dressed in varying beads and decorations that have a cultural relevance.		An African trying to guage her beauty.		neutral	neutral	neutral
295	394	An African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance.		An African not trying to guage her beauty.		neutral	neutral	neutral
296	395	An African individual is not looking into the camera while dressed in varying beads and decorations that have a cultural relevance.	1.0	An African not trying to guage her beauty.	1.0	neutral	neutral	neutral
297	397	A little girl with flour all over her is not sitting in a highchair.		A child helping make cookies		neutral	neutral	neutral
298	398	A little girl with flour all over her sitting in a highchair.		A child is not helping make cookies		neutral	neutral	neutral
299	399	A little girl with flour all over her is not sitting in a highchair.	1.0	A child is not helping make cookies	1.0	neutral	neutral	neutral
