	index	text	hypothesis	gold_label 	importance
203	271	and i thought well if i ride my bike the wind chill will not be close to zero it will last seven minutes six minutes if i walk it'll be ten degrees warmer but it will not last twenty minutes	I don't like walking for long periods in the cold.	neutral	['0', '0']
204	273	i saw one i thought was not crummy with that new uh Michael J Fox movie The Hard Way where he plays a a actor that's uh like the huh	I thought The Hard Way was a fantastic movie.	neutral	1
205	274	i saw one i thought was crummy with that new uh Michael J Fox movie The Hard Way where he plays a a actor that's uh like the huh	I did not think The Hard Way was a fantastic movie.	entailment	1
206	275	i saw one i thought was not crummy with that new uh Michael J Fox movie The Hard Way where he plays a a actor that's uh like the huh	I did not think The Hard Way was a fantastic movie.	neutral	['1', '0']
207	277	Most of the equipment and piping associated with a sorbent injection system is not fairly small and can be easily accommodated on any facility.	Sorbent injection systems are found nationwide in all sorts of industries.	neutral	0
208	278	Most of the equipment and piping associated with a sorbent injection system is fairly small and can be easily accommodated on any facility.	Sorbent injection systems are not found nationwide in all sorts of industries.	neutral	0
209	279	Most of the equipment and piping associated with a sorbent injection system is not fairly small and can be easily accommodated on any facility.	Sorbent injection systems are not found nationwide in all sorts of industries.	neutral	['0', '0']
210	281	you can not get yearly money as long as you keep up your grades she she did very well in school and uh but she only got first year money she got about two thousand dollars it was only five hundred dollars at a clip from this organization	She did poorly in school and received some money. 	entailment	1
211	282	you can get yearly money as long as you keep up your grades she she did very well in school and uh but she only got first year money she got about two thousand dollars it was only five hundred dollars at a clip from this organization	She did poorly in school and didn't receive any money at all.	contradiction	0
212	283	you can not get yearly money as long as you keep up your grades she she did very well in school and uh but she only got first year money she got about two thousand dollars it was only five hundred dollars at a clip from this organization	She did poorly in school and didn't receive any money at all.	contradiction	['0', '1']
213	285	The Alliance did not win 51 of 52 seats in the 1955 election on a platform promising an equitable multiracial constitution.	The alliance was defeated in the election but still fought to bring their platform to life.	neutral	1
214	286	The Alliance won 51 of 52 seats in the 1955 election on a platform promising an equitable multiracial constitution.	The alliance was not defeated in the election but still fought to bring their platform to life.	entailment	1
215	287	The Alliance did not win 51 of 52 seats in the 1955 election on a platform promising an equitable multiracial constitution.	The alliance was not defeated in the election but still fought to bring their platform to life.	neutral	['1', '0']
216	289	He did not double and triple his swings and guards.	He increased his swings. 	neutral	1
217	290	He doubled and tripled his swings and guards.	He did not increase his swings.	contradiction	1
218	291	He did not double and triple his swings and guards.	He did not increase his swings.	neutral	['1', '0']
219	293	If our battle had not raged for the entire afternoon, the results would have been the different.	Our battle would  have changed no matter how long the fight lasted. 	contradiction	0
220	294	If our battle had raged for the entire afternoon, the results would have been the same.	Our battle would not have changed no matter how long the fight lasted.	entailment	1
221	295	If our battle had not raged for the entire afternoon, the results would have been the different.	Our battle would not have changed no matter how long the fight lasted.	contradiction	['1', '0']
222	297	What would not be evaluated-the usefulness of a screen or the psychometric properties of ascreen?	Would the usefulness of a screen be evaluated first?	neutral	0
223	298	What would be evaluated-the usefulness of a screen or the psychometric properties of a screen?	Would the usefulness of a screen not be evaluated first?	neutral	0
224	299	What would not be evaluated-the usefulness of a screen or the psychometric properties of ascreen?	Would the usefulness of a screen not be evaluated first?	neutral	['0', '0']
225	301	Prepared  Office of Air Quality Planning and Standards, Office of Space and Radiation, April.	April was the month when the work has begun and ended.	neutral	0
226	302	Prepared  Office of Air Quality Planning and Standards, Office of Air and Radiation, April.	April was not the month when the work has begun and ended.	neutral	0
227	303	Prepared  Office of Air Quality Planning and Standards, Office of Space and Radiation, April.	April was not the month when the work has begun and ended.	neutral	['0', '0']
228	305	There are not, to be sure, pivotal generational experiences.	Generations have pivotal experiences.	contradiction	1
229	306	There are, to be sure, pivotal generational experiences.	Generations do not have pivotal experiences.	contradiction	1
230	307	There are not, to be sure, pivotal generational experiences.	Generations do not have pivotal experiences.	entailment	['1', '1']
231	309	um-hum well that's definitely not the way we feel	This is  how I feel.	contradiction	1
232	310	um-hum well that's definitely the way we feel	This isn't how I feel.	contradiction	1
233	311	um-hum well that's definitely not the way we feel	This isn't how I feel.	entailment	['1', '1']
234	313	'There you are not,' she said sharply.	She was speaking to her Father. 	neutral	0
235	314	'There you are,' she said sharply.	She was not speaking to her Father. 	neutral	0
236	315	'There you are not,' she said sharply.	She was not speaking to her Father. 	neutral	['0', '0']
237	317	Politician is not pushing it or uh or Mitch Snider or MitchSnider oh okay well see that's a DC thing Mitch Sniders is the advocate for the homeless that uh he he said    did   said said it out here in Washington uh Washington but he started the um uh  the movement for creative nonviolence	Mitch Snider has a real soft heart for the homeless.	neutral	0
238	318	politician is pushing it or uh or Mitch Snider or Mitch Snider oh okay well see that's a DC thing Mitch Snider is the the advocate for the homeless that uh he he said      said said it out here in Washington uh Washington but he started the um uh  the movement for creative nonviolence	Mitch Snider has not a real soft heart for the homeless.	neutral	0
239	319	Politician is not pushing it or uh or Mitch Snider or MitchSnider oh okay well see that's a DC thing Mitch Sniders is the advocate for the homeless that uh he he said    did   said said it out here in Washington uh Washington but he started the um uh  the movement for creative nonviolence	Mitch Snider has not a real soft heart for the homeless.	neutral	['0', '0']
240	321	Of the few remains of the Byzantine city, the most remarkable building is not the Haghia Sophia.	The Hagia Sophia is far from the most notable remnant of the Byzantine city, but some people still come and see it.	entailment	1
241	322	Of the few remains of the Byzantine city, the most remarkable building is the Haghia Sophia.	The Hagia Sophia is not far from the most notable remnant of the Byzantine city, but some people still come and see it.	contradiction	0
242	323	Of the few remains of the Byzantine city, the most remarkable building is not the Haghia Sophia.	The Hagia Sophia is not far from the most notable remnant of the Byzantine city, but some people still come and see it.	neutral	['1', '1']
243	325	do not put them in a mulching not a mulching but uh to let them decompose	Be sure to let them decompose. 	entailment	0
244	326	put them in a mulching not a mulching but uh to let them decompose	Be sure not to let them decompose. 	contradiction	1
245	327	do not put them in a mulching not a mulching but uh to let them decompose	Be sure not to let them decompose. 	contradiction	['0', '1']
246	329	The tombs of the sultan and his wife Roxelana do not lie behind the mosque in the walled garden, an atmospheric spot, where rose and hollyhocks tangle among the tall grass between the gravestones, and flocks of sparrows swoop and squabble in the fig trees.	The sultan and his wife are buried far from this garden.	neutral	1
247	330	The tombs of the sultan and his wife Roxelana lie behind the mosque in the walled garden, an atmospheric spot, where rose and hollyhocks tangle among the tall grass between the gravestones, and flocks of sparrows swoop and squabble in the fig trees.	The sultan and his wife are not buried far from this garden.	entailment	1
248	331	The tombs of the sultan and his wife Roxelana do not lie behind the mosque in the walled garden, an atmospheric spot, where rose and hollyhocks tangle among the tall grass between the gravestones, and flocks of sparrows swoop and squabble in the fig trees.	The sultan and his wife are not buried far from this garden.	neutral	['1', '0']
249	333	He's not a good guy.	The guy is great. 	contradiction	1
250	334	He's a good guy.	The guy is not great.	neutral	0
251	335	He's not a good guy.	The guy is not great.	neutral	['0', '1']
252	337	uh is not playing such	Playing a lot of the new stuff.	neutral	0
253	338	uh playing such	Playing no more of the new stuff.	neutral	0
254	339	uh is not playing such	Playing no more of the new stuff.	neutral	['0', '0']
255	341	But one meeting is not essential to define my policy.	In order to define my policy, I have to do one request.	neutral	1
256	342	But one meeting is essential to define my policy.	In order to define my policy, I do not have to do one request.	neutral	1
257	343	But one meeting is not essential to define my policy.	In order to define my policy, I do not have to do one request.	neutral	['0', '0']
258	345	they they did not cost you practically nothing from one to five and then slowly but surely starts to creep up when they start to take lessons but uh it's well worth it and everything	They are most expensive between one and five.	contradiction	0
259	346	they they cost you practically nothing from one to five and then slowly but surely starts to creep up when they start to take lessons but uh it's well worth it and everything	They are not most expensive between one and five.	entailment	1
260	347	they they did not cost you practically nothing from one to five and then slowly but surely starts to creep up when they start to take lessons but uh it's well worth it and everything	They are not most expensive between one and five.	entailment	['0', '1']
261	349	After a period of steady decline, the monaster y was not dismantled even before the Revolution.	The Revolution had  happened and the monastery had already been dismantled.	contradiction	1
262	350	After a period of steady decline, the monaster y was dismantled even before the Revolution.	The Revolution hadn't even happened and the monastery had already been dismantled.	entailment	0
263	351	After a period of steady decline, the monaster y was not dismantled even before the Revolution.	The Revolution hadn't even happened and the monastery had already been dismantled.	contradiction	['1', '0']
264	353	Barr too may not hope to ride right-wing indignation to national power, but don't count on it.	Barr wants somthing to do with politics. 	neutral	1
265	354	Barr too may hope to ride right-wing indignation to national power, but don't count on it.	Barr wants nothing to do with politics. 	contradiction	1
266	355	Barr too may not hope to ride right-wing indignation to national power, but don't count on it.	Barr wants nothing to do with politics. 	neutral	['1', '0']
267	357	sure you're not welcome okay bye-bye	Hello, no not right now but thanks.	neutral	1
268	358	sure you're welcome okay bye-bye	Hello, no not right now but not thanks.	neutral	1
269	359	sure you're not welcome okay bye-bye	Hello, no not right now but not thanks.	neutral	['0', '0']
270	361	For each increment of time, the impact to US steel demand was not less than one tenth of one percent.	The impact on steel demand in the U.S. was less than a tenth of one percent for each increment of time.	contradiction	1
271	362	For each increment of time, the impact to US steel demand was less than one tenth of one percent.	The impact on steel demand in the U.S. was not less than a tenth of one percent for each increment of time.	contradiction	1
272	363	For each increment of time, the impact to US steel demand was not less than one tenth of one percent.	The impact on steel demand in the U.S. was not less than a tenth of one percent for each increment of time.	entailment	['1', '1']
273	365	well my wife did not spend some time up in Connecticut	My wife went to Connecticut and spent time there.	contradiction	1
274	366	well my wife spent some time up in Connecticut	My wife did not go to Connecticut and spent time there.	contradiction	1
275	367	well my wife did not spend some time up in Connecticut	My wife did not go to Connecticut and spent time there.	entailment	['1', '1']
276	369	It all did not arise from a misunderstanding.	It all sprouted from a disagreement.	neutral	1
277	370	It all arose from a misunderstanding. 	It all did not sprout from a disagreement.	contradiction	1
278	371	It all did not arise from a misunderstanding.	It all did not sprout from a disagreement.	neutral	['1', '0']
279	373	Enteringthemaincourtyard of the temple, you will not findaperistylehall(with onerowofsupporting columns)decoratedwith flutedcolumns that werecommissioned by the Queen Hatshepsut,andseveralimpressivestatuesofRamses II in black and red granite.	You can find a hall with big columns in the temple.	contradiction	1
280	374	Enteringthemaincourtyard of the temple, you will findaperistylehall(with onerowofsupporting columns)decoratedwith flutedcolumns that werecommissioned by the Queen Hatshepsut,andseveralimpressivestatuesofRamses II in black and red granite.Perhapsthemostfascinating element of the hall is the Mosque of Abu El Haggag which was built within the temple complex to protect the tomb of a 12th-century descendent of Mohammed's brother-in-law.	You can not find a hall with big columns in the temple.	contradiction	1
281	375	Enteringthemaincourtyard of the temple, you will not findaperistylehall(with onerowofsupporting columns)decoratedwith flutedcolumns that werecommissioned by the Queen Hatshepsut,andseveralimpressivestatuesofRamses II in black and red granite.	You can not find a hall with big columns in the temple.	entailment	['1', '1']
282	377	Leonardo's Annunciation (1472 1477) of a few years later does not show his characteristic gentle tone and feeling for precise detail, and the Adoration of the Magi, even as an underdrawing left unfinished by his departure for Milan (1481), reveals his revolutionary power of psychological observation.	Leonardo left for Milan in 1481 to seek out more challenging commission work.	neutral	0
283	378	Leonardo's Annunciation (1472 1477) of a few years later already shows his characteristic gentle tone and feeling for precise detail, and the Adoration of the Magi, even as an underdrawing left unfinished by his departure for Milan (1481), reveals his revolutionary power of psychological observation.	Leonardo did not left for Milan in 1481 to seek out more challenging commission work.	neutral	0
284	379	Leonardo's Annunciation (1472 1477) of a few years later does not show his characteristic gentle tone and feeling for precise detail, and the Adoration of the Magi, even as an underdrawing left unfinished by his departure for Milan (1481), reveals his revolutionary power of psychological observation.	Leonardo did not left for Milan in 1481 to seek out more challenging commission work.	neutral	['0', '0']
285	381	The composition of PM can not vary considerably from one region to another depending on the sources of particulate emissions in each region.	The PM's composition may vary depending on the sources of emissions.	contradiction	1
286	382	The composition of PM can vary considerably from one region to another depending on the sources of particulate emissions in each region.	The PM's composition may not vary depending on the sources of emissions.	contradiction	1
287	383	The composition of PM can not vary considerably from one region to another depending on the sources of particulate emissions in each region.	The PM's composition may not vary depending on the sources of emissions.	entailment	['1', '1']
288	385	yeah yeah where what part of Texas oh okay now i i ask that because my wife is not from the Palestine area in East Texas and you can tell she's native too yeah	My wife is from Texas, too.	contradiction	1
289	386	yeah yeah where what part of Texas oh okay now i i i ask that because my wife is from the Palestine area in East Texas and you can tell she's native too yeah	My wife is not Texas, too.	contradiction	1
290	387	yeah yeah where what part of Texas oh okay now i i ask that because my wife is not from the Palestine area in East Texas and you can tell she's native too yeah	My wife is not Texas, too.	entailment	['1', '1']
291	389	This is not a pure pro-bono project, Brownell said.	Brownell had authority over what type of project was being conducted.	neutral	0
292	390	This is a pure pro-bono project, Brownell said. 	Brownell did not have authority over what type of project was being conducted.	neutral	0
293	391	This is not a pure pro-bono project, Brownell said.	Brownell did not have authority over what type of project was being conducted.	neutral	['0', '0']
294	393	It's not clear that a number of them are not doing an adequate job in his regard.	Some of them are doing a good job.	neutral	1
295	394	It's clear that a number of them are not doing an adequate job in his regard.	Some of them are not doing a good job.	entailment	1
296	395	It's not clear that a number of them are not doing an adequate job in his regard.	Some of them are not doing a good job.	neutral	['1', '0']
297	397	A notice of proposed rulemaking was not published on February 3, 1995.	On February 3, 1995, a proposed rulemaking was published.	contradiction	1
298	398	A notice of proposed rulemaking was published on February 3, 1995.	On February 3, 1995, a proposed rulemaking was not published.	contradiction	1
299	399	A notice of proposed rulemaking was not published on February 3, 1995.	On February 3, 1995, a proposed rulemaking was not published.	entailment	['1', '1']
